"SubscriptionId";"SubscriptionName";"ResourceGroup";"ResourceName";"ResourceType";"SubType";"Location";"SKU_Size";"vCPU_Estimate";"LicenseType_Raw";"AHB_Status";"AHB_Enabled";"EconomiesRealisees_USD";"EconomiesRealisees_EUR";"EconomiesPotentielles_USD";"EconomiesPotentielles_EUR";"SavingsRatePct";"Recommendation";"ResourceId"
"9a47fe87-e578-4757-b327-359a9981d716";"DSI Azure Enterprise";"SERVICEAPPLICATION-COLLABINDEX";"SA-CollabIndex";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D4s_v3";"4";"null";"NON ACTIVÉ";"False";"0";"0";"56";"51.52";"40%";"⚡ Activer AHB → économiser ~56 USD/mois";"/subscriptions/9a47fe87-e578-4757-b327-359a9981d716/resourceGroups/SERVICEAPPLICATION-COLLABINDEX/providers/Microsoft.Compute/virtualMachines/SA-CollabIndex"
"9a47fe87-e578-4757-b327-359a9981d716";"DSI Azure Enterprise";"ServiceApplication-CollabIndex";"collaborativeindex/CollaborativeIndex";"Azure SQL Database";"SQL Database (Standard)";"westeurope";"Standard Standard";"10";"DTU-model (non éligible vCore)";"NON ACTIVÉ";"False";"0";"0";"555";"510.6";"30%";"ℹ Modèle DTU — passer en vCore pour activer AHB";"/subscriptions/9a47fe87-e578-4757-b327-359a9981d716/resourceGroups/ServiceApplication-CollabIndex/providers/Microsoft.Sql/servers/collaborativeindex/databases/CollaborativeIndex"
"2e2a6511-b975-4cc4-869f-fa9f0a45d413";"DSI DT Azure Enterprise";"PROJETDATASCIENTIST";"azudatascien01p";"Virtual Machine";"Windows Server VM";"northeurope";"Standard_D8s_v3";"8";"null";"NON ACTIVÉ";"False";"0";"0";"112";"103.04";"40%";"⚡ Activer AHB → économiser ~112 USD/mois";"/subscriptions/2e2a6511-b975-4cc4-869f-fa9f0a45d413/resourceGroups/PROJETDATASCIENTIST/providers/Microsoft.Compute/virtualMachines/azudatascien01p"
"92ef112c-d661-41cc-b9a6-4b1eb694fb51";"pf-alt-prd";"RG-PF-ALT-PRD-COMPUTE-001";"pfazrvpaltctl01";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D16as_v4";"2";"null";"NON ACTIVÉ";"False";"0";"0";"28";"25.76";"40%";"⚡ Activer AHB → économiser ~28 USD/mois";"/subscriptions/92ef112c-d661-41cc-b9a6-4b1eb694fb51/resourceGroups/RG-PF-ALT-PRD-COMPUTE-001/providers/Microsoft.Compute/virtualMachines/pfazrvpaltctl01"
"92ef112c-d661-41cc-b9a6-4b1eb694fb51";"pf-alt-prd";"RG-PF-ALT-PRD-COMPUTE-001";"pfazrvpaltctl02";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D8as_v4";"2";"null";"NON ACTIVÉ";"False";"0";"0";"28";"25.76";"40%";"⚡ Activer AHB → économiser ~28 USD/mois";"/subscriptions/92ef112c-d661-41cc-b9a6-4b1eb694fb51/resourceGroups/RG-PF-ALT-PRD-COMPUTE-001/providers/Microsoft.Compute/virtualMachines/pfazrvpaltctl02"
"92ef112c-d661-41cc-b9a6-4b1eb694fb51";"pf-alt-prd";"RG-PF-ALT-PRD-COMPUTE-001";"pfazrvpaltwrk01";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D8as_v4";"2";"null";"NON ACTIVÉ";"False";"0";"0";"28";"25.76";"40%";"⚡ Activer AHB → économiser ~28 USD/mois";"/subscriptions/92ef112c-d661-41cc-b9a6-4b1eb694fb51/resourceGroups/RG-PF-ALT-PRD-COMPUTE-001/providers/Microsoft.Compute/virtualMachines/pfazrvpaltwrk01"
"2e216032-21d5-4c59-9c12-30c9bdd75fcd";"pf-ata-prd";"RG-PF-ATA-PRD-AGENT-SAP-001";"pfazrvpatasap01";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D4ads_v5";"2";"null";"NON ACTIVÉ";"False";"0";"0";"28";"25.76";"40%";"⚡ Activer AHB → économiser ~28 USD/mois";"/subscriptions/2e216032-21d5-4c59-9c12-30c9bdd75fcd/resourceGroups/RG-PF-ATA-PRD-AGENT-SAP-001/providers/Microsoft.Compute/virtualMachines/pfazrvpatasap01"
"2e216032-21d5-4c59-9c12-30c9bdd75fcd";"pf-ata-prd";"RG-PF-ATA-PRD-AGENT-SAP-001";"pfazrvpatasap02";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D4ads_v5";"2";"null";"NON ACTIVÉ";"False";"0";"0";"28";"25.76";"40%";"⚡ Activer AHB → économiser ~28 USD/mois";"/subscriptions/2e216032-21d5-4c59-9c12-30c9bdd75fcd/resourceGroups/RG-PF-ATA-PRD-AGENT-SAP-001/providers/Microsoft.Compute/virtualMachines/pfazrvpatasap02"
"2e216032-21d5-4c59-9c12-30c9bdd75fcd";"pf-ata-prd";"RG-PF-ATA-PRD-AGENT-SAP-001";"pfazrvpatasap03";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D4ads_v5";"2";"null";"NON ACTIVÉ";"False";"0";"0";"28";"25.76";"40%";"⚡ Activer AHB → économiser ~28 USD/mois";"/subscriptions/2e216032-21d5-4c59-9c12-30c9bdd75fcd/resourceGroups/RG-PF-ATA-PRD-AGENT-SAP-001/providers/Microsoft.Compute/virtualMachines/pfazrvpatasap03"
"2e216032-21d5-4c59-9c12-30c9bdd75fcd";"pf-ata-prd";"RG-PF-ATA-PRD-AGENT-SAP-001";"pfazrvpatasap04";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D4ads_v5";"2";"null";"NON ACTIVÉ";"False";"0";"0";"28";"25.76";"40%";"⚡ Activer AHB → économiser ~28 USD/mois";"/subscriptions/2e216032-21d5-4c59-9c12-30c9bdd75fcd/resourceGroups/RG-PF-ATA-PRD-AGENT-SAP-001/providers/Microsoft.Compute/virtualMachines/pfazrvpatasap04"
"2e216032-21d5-4c59-9c12-30c9bdd75fcd";"pf-ata-prd";"RG-PF-ATA-PRD-AGENT-SAP-001";"pfazrvpatasap05";"Virtual Machine";"Windows Server VM";"westeurope";"Standard_D4ads_v5";"2";"null";"NON ACTIVÉ";"False";"0";"0";"28";"25.76";"40%";"⚡ Activer AHB → économiser ~28 USD/mois";"/subscriptions/2e216032-21d5-4c59-9c12-30c9bdd75fcd/resourceGroups/RG-PF-ATA-PRD-AGENT-SAP-001/providers/Microsoft.Compute/virtualMachines/pfazrvpatasap05"
