"SubscriptionName";"SubscriptionId";"TotalRessourcesEligibles";"RessourcesAvecAHB_Actif";"RessourcesSansAHB";"EconomiesRealisees_USD_Mensuel";"EconomiesRealisees_EUR_Mensuel";"EconomiesRealisees_USD_Annuel";"EconomiesRealisees_EUR_Annuel";"EconomiesPotentielles_USD_Mensuel";"EconomiesPotentielles_EUR_Mensuel";"EconomiesPotentielles_USD_Annuel";"EconomiesPotentielles_EUR_Annuel";"TotalCombined_USD_Annuel"
"DSI Azure Enterprise";"9a47fe87-e578-4757-b327-359a9981d716";"2";"0";"2";"0";"0";"0";"0";"611";"562.12";"7332";"6745.44";"7332"
"DSI DT Azure Enterprise";"2e2a6511-b975-4cc4-869f-fa9f0a45d413";"1";"0";"1";"0";"0";"0";"0";"112";"103.04";"1344";"1236.48";"1344"
"pf-alt-prd";"92ef112c-d661-41cc-b9a6-4b1eb694fb51";"3";"0";"3";"0";"0";"0";"0";"84";"77.28";"1008";"927.36";"1008"
"pf-ata-prd";"2e216032-21d5-4c59-9c12-30c9bdd75fcd";"7";"0";"7";"0";"0";"0";"0";"408";"375.36";"4896";"4504.32";"4896"
"pf-ata-stg";"78a6ba6d-01cf-4ff0-b18a-9a447cfa5fc3";"3";"0";"3";"0";"0";"0";"0";"296";"272.32";"3552";"3267.84";"3552"
"pf-avd-prd";"40cd83e3-43d0-4a3c-a026-849dfaff9bff";"190";"0";"190";"0";"0";"0";"0";"5628";"5177.76";"67536";"62133.12";"67536"
"pf-das-prd";"633be0c2-c99b-4c04-8cc2-99794f566935";"4";"4";"0";"252";"231.84";"3024";"2782.08";"0";"0";"0";"0";"3024"
"pf-das-stg";"1fd75d0f-1229-4b8f-a9ee-235b1fd8ac60";"4";"4";"0";"252";"231.84";"3024";"2782.08";"0";"0";"0";"0";"3024"
"pf-dfs-prd";"88d31c1e-b608-4e9b-af95-dae0c470cc77";"1";"0";"1";"0";"0";"0";"0";"56";"51.52";"672";"618.24";"672"
"pf-dmp-dev";"6e48fce0-a84a-4f65-b020-7c16e5a28768";"11";"2";"9";"252";"231.84";"3024";"2782.08";"3526";"3243.92";"42312";"38927.04";"45336"
"pf-dmp-prd";"b6378144-1a63-4fd6-a654-5f1c3c424555";"8";"0";"8";"0";"0";"0";"0";"4720";"4342.4";"56640";"52108.8";"56640"
"pf-dmp-stg";"feb562f1-c7cd-4b53-9e1b-ad4a3eafcf62";"6";"0";"6";"0";"0";"0";"0";"3386";"3115.12";"40632";"37381.44";"40632"
"pf-hds-sas-dev";"5d8c447a-1830-4603-be58-d6aab95700ec";"3";"0";"3";"0";"0";"0";"0";"84";"77.28";"1008";"927.36";"1008"
"pf-hds-sas-prd";"bce7347a-f4df-4df7-bea7-56ec4e1148c9";"3";"0";"3";"0";"0";"0";"0";"84";"77.28";"1008";"927.36";"1008"
"pf-hds-sas-sandbox";"513ad47c-251f-4a6c-8c8d-0e6cd964883c";"3";"0";"3";"0";"0";"0";"0";"84";"77.28";"1008";"927.36";"1008"
"pf-hds-sas-stg";"b9ec9c87-934f-468e-897c-34ac0998bd91";"6";"0";"6";"0";"0";"0";"0";"168";"154.56";"2016";"1854.72";"2016"
"pf-hlo-prd";"6c13228a-8385-4a91-af25-d051ad335ca8";"2";"1";"1";"28";"25.76";"336";"309.12";"28";"25.76";"336";"309.12";"672"
"pf-hub-connectivity";"5e4b1a67-acea-4f2c-a456-4383cccff311";"13";"4";"9";"140";"128.8";"1680";"1545.6";"252";"231.84";"3024";"2782.08";"4704"
"pf-hub-hds-mgmt";"c664c897-9cf2-4584-b065-b502d3b80fa7";"4";"0";"4";"0";"0";"0";"0";"196";"180.32";"2352";"2163.84";"2352"
"pf-hub-management";"9fd15a8e-f3d7-472a-adcd-b2900a374b0d";"1";"0";"1";"0";"0";"0";"0";"28";"25.76";"336";"309.12";"336"
"pf-pbi-prd";"7a62c104-5d83-45f0-95d8-83824c287717";"1";"0";"1";"0";"0";"0";"0";"28";"25.76";"336";"309.12";"336"
"pf-sap-prd";"2aefe686-1176-4da6-85ae-493b3558ee79";"3";"0";"3";"0";"0";"0";"0";"557";"512.44";"6684";"6149.28";"6684"
"pf-sap-stg";"2360e410-6753-4843-86e9-ea90a885ad33";"3";"0";"3";"0";"0";"0";"0";"501";"460.92";"6012";"5531.04";"6012"
"PL Storage Azure Enterprise";"cc96283d-9240-4179-a275-8c4044cb2798";"1";"0";"1";"0";"0";"0";"0";"277.5";"255.3";"3330";"3063.6";"3330"
"=== TOTAL TENANT ===";"";"283";"15";"268";"924";"850.08";"11088";"10200.96";"21114.5";"19425.34";"253374";"233104.08";"264462"
