"SubscriptionName","RoleName","PrincipalName","PrincipalType","Scope"
"AT Storage Azure Enterprise","Owner",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","User Access Administrator",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","Reader",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","Contributor",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","Reader",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","Owner",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","Reader",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","Contributor",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","Owner",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","Owner",,,"/subscriptions/7444afba-8425-409c-9cf4-6e1de6aeff9d"
"AT Storage Azure Enterprise","User Access Administrator",,,"/"
"AT Storage Azure Enterprise","User Access Administrator",,,"/"
"AT Storage Azure Enterprise","User Access Administrator",,,"/"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/mg-filiales"
"AT Storage Azure Enterprise","Storage Blob Data Owner",,,"/providers/Microsoft.Management/managementGroups/mg-filiales"
"AT Storage Azure Enterprise","Owner",,,"/providers/Microsoft.Management/managementGroups/mg-filiales"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/mg-filiales"
"AT Storage Azure Enterprise","Owner",,,"/providers/Microsoft.Management/managementGroups/mg-filiales"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/mg-filiales"
"AT Storage Azure Enterprise","Contributor",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Contributor",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Contributor",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Contributor",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Contributor",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Backup Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Owner",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Virtual Machine Administrator Login",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Key Vault Administrator",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Azure AI Inference Deployment Operator",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Cognitive Services OpenAI Contributor",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Grafana Viewer",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Grafana Viewer",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Security Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Support Request Contributor",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Storage File Data SMB Share Reader",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
"AT Storage Azure Enterprise","Resource Policy Contributor",,,"/providers/Microsoft.Management/managementGroups/a899d509-e790-454b-b3fe-4b581016bdc5"
