"SubscriptionId","SubscriptionName","DefenderPlan","FriendlyPlanName","CriticalityLevel","PricingTier","ResourceId","ResourceName","ResourceType","ResourceGroup","Location","Tags","NonComplianceReason","AuditedAt"
"7444afba-8425-409c-9cf4-6e1de6aeff9d","AT Storage Azure Enterprise","StorageAccounts","Defender for Storage","HIGH","Free","/subscriptions/ae84e67e-d14a-4733-b672-9f5e490f04ae/resourceGroups/SOO/providers/Microsoft.Storage/storageAccounts/sofia","sofia","Microsoft.Storage/storageAccounts","SOO","eastus","BUPF=BU03903U;PF_POLE=DT;PF_APPLI=Stockage Filiale;PF_ENV=production;PF_COMPOSANT=mutualise","PlanDisabled|Free","2026-04-14 16:15:00"
"7444afba-8425-409c-9cf4-6e1de6aeff9d","AT Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:00"
"b24fc1cd-c185-4f96-87f1-4ad94a40a59e","AU Microsoft Azure Enterprise","StorageAccounts","Defender for Storage","HIGH","Free","/subscriptions/ae84e67e-d14a-4733-b672-9f5e490f04ae/resourceGroups/SOO/providers/Microsoft.Storage/storageAccounts/sofia","sofia","Microsoft.Storage/storageAccounts","SOO","eastus","BUPF=BU03903U;PF_POLE=DT;PF_APPLI=Stockage Filiale;PF_ENV=production;PF_COMPOSANT=mutualise","PlanDisabled|Free","2026-04-14 16:15:00"
"b24fc1cd-c185-4f96-87f1-4ad94a40a59e","AU Microsoft Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:00"
"3128a48b-402c-438b-a90d-47e2ae66f8f6","BE Storage Azure Enterprise","StorageAccounts","Defender for Storage","HIGH","Free","/subscriptions/ae84e67e-d14a-4733-b672-9f5e490f04ae/resourceGroups/SOO/providers/Microsoft.Storage/storageAccounts/sofia","sofia","Microsoft.Storage/storageAccounts","SOO","eastus","BUPF=BU03903U;PF_POLE=DT;PF_APPLI=Stockage Filiale;PF_ENV=production;PF_COMPOSANT=mutualise","PlanDisabled|Free","2026-04-14 16:15:00"
"3128a48b-402c-438b-a90d-47e2ae66f8f6","BE Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:00"
"ae84e67e-d14a-4733-b672-9f5e490f04ae","BG Storage Azure Enterprise","StorageAccounts","Defender for Storage","HIGH","Free","/subscriptions/faffb1af-ed72-4366-8046-e64526b3caa1/resourceGroups/BR_SRV_BACKUP/providers/Microsoft.Storage/storageAccounts/brstoragehypervbkp","brstoragehypervbkp","Microsoft.Storage/storageAccounts","BR_SRV_BACKUP","brazilsouth","BUPF=BU03903U;PF_POLE=DT;PF_APPLI=Stockage Filiale;PF_ENV=production;PF_COMPOSANT=mutualise","PlanDisabled|Free","2026-04-14 16:15:01"
"ae84e67e-d14a-4733-b672-9f5e490f04ae","BG Storage Azure Enterprise","StorageAccounts","Defender for Storage","HIGH","Free","/subscriptions/faffb1af-ed72-4366-8046-e64526b3caa1/resourceGroups/BR_SRV_BACKUP/providers/Microsoft.Storage/storageAccounts/snowflakepfb","snowflakepfb","Microsoft.Storage/storageAccounts","BR_SRV_BACKUP","westeurope","BUPF=BU03903U;PF_APPLI=Stockage Filiale;PF_COMPOSANT=mutualise;PF_ENV=production;PF_POLE=DT","PlanDisabled|Free","2026-04-14 16:15:01"
"ae84e67e-d14a-4733-b672-9f5e490f04ae","BG Storage Azure Enterprise","KeyVaults","Defender for Key Vault","HIGH","Free","/subscriptions/faffb1af-ed72-4366-8046-e64526b3caa1/resourceGroups/BR_SRV_BACKUP/providers/Microsoft.KeyVault/vaults/KVBRStorage","KVBRStorage","Microsoft.KeyVault/vaults","BR_SRV_BACKUP","brazilsouth","BUPF=BU03903U;PF_POLE=DT;PF_APPLI=Stockage Filiale;PF_ENV=production;PF_COMPOSANT=mutualise","PlanDisabled|Free","2026-04-14 16:15:01"
"ae84e67e-d14a-4733-b672-9f5e490f04ae","BG Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:01"
"faffb1af-ed72-4366-8046-e64526b3caa1","BR Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:02"
"e784bae2-a9f8-4796-9049-36d925d1bf5d","CA Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:03"
"c488edeb-57c8-432c-913a-8406d1d4e1e3","CH Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:04"
"ea8c34c2-16e2-4f9b-a3ba-1e649e57c99e","CL Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:04"
"5ba8d920-a52a-4f6b-ad9f-e90210573281","Cloud Subscription","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:05"
"2337966a-1865-4fba-934f-d4082b8b2a6d","CN Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:07"
"82415abf-f1c5-4972-bb63-534ce1451656","CZ Storage Azure Enterprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:07"
"777d4dae-f4db-4e40-af7f-ab03d04b152e","DE Storage Azure Entreprise","Arm","Defender for Resource Manager","MEDIUM","Free","SubscriptionLevel","N/A","N/A","N/A","N/A","","PlanDisabled|Free","2026-04-14 16:15:08"
"d66f2ffb-7a65-449e-8c4c-5245b1508366","DK Storage Azure Entreprise","VirtualMachines","Defender for Servers","CRITICAL","Free","/subscriptions/2e2a6511-b975-4cc4-869f-fa9f0a45d413/resourceGroups/ProjetDataScientist/providers/Microsoft.Compute/virtualMachines/azudatascien01p","azudatascien01p","Microsoft.Compute/virtualMachines","ProjetDataScientist","northeurope","PROJETPF=DAIS_DT;BUPF=BU03903U;PF_POLE=DT;PF_APPLI=A DERTERMINER;PF_ENV=production;PF_COMPOSANT=mutualise","PlanDisabled|Free","2026-04-14 16:15:08"
