"SubscriptionName";"GPv1Count";"ErrorCount";"Status";"AuditTimestamp"
"AT Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:25"
"AU Microsoft Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:27"
"BE Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:28"
"BG Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:28"
"BR Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:28"
"CA Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:28"
"CH Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:28"
"CL Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:29"
"Cloud Subscription";"0";"0";"OK";"2026-04-09 16:15:30"
"CN Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:30"
"CZ Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:30"
"DE Storage Azure Entreprise";"2";"0";"OK";"2026-04-09 16:15:30"
"DK Storage Azure Entreprise";"0";"0";"OK";"2026-04-09 16:15:31"
"DSI Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:31"
"DSI DT Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:32"
"DSI PDT";"1";"0";"OK";"2026-04-09 16:15:32"
"DSI Security Azure Entreprise";"0";"0";"OK";"2026-04-09 16:15:33"
"DZ Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:33"
"FR Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:34"
"FR VSTS Azure Subscription";"0";"0";"OK";"2026-04-09 16:15:34"
"FR2-LOGS-ANALYTICS";"1";"0";"OK";"2026-04-09 16:15:35"
"GB Storage Azure Entreprise";"0";"0";"OK";"2026-04-09 16:15:35"
"GR Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:36"
"GR Training WebSite Azure Entreprise";"0";"0";"OK";"2026-04-09 16:15:37"
"HK Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:37"
"IT Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:38"
"JP Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:38"
"KR Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:39"
"LB Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:39"
"MA Storage Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:39"
"Microsoft Azure Enterprise";"0";"0";"OK";"2026-04-09 16:15:41"
"pf-aia-dev";"0";"0";"OK";"2026-04-09 16:15:42"
"pf-aia-prd";"0";"0";"OK";"2026-04-09 16:15:42"
"pf-alt-prd";"0";"0";"OK";"2026-04-09 16:15:43"
"pf-apm-poc";"0";"0";"OK";"2026-04-09 16:15:43"
"pf-ata-prd";"0";"0";"OK";"2026-04-09 16:15:43"
"pf-ata-stg";"0";"0";"OK";"2026-04-09 16:15:44"
"pf-avd-prd";"0";"0";"OK";"2026-04-09 16:15:45"
"pf-c4r-dev";"0";"0";"OK";"2026-04-09 16:15:45"
"pf-c4r-prd";"0";"0";"OK";"2026-04-09 16:15:46"
"pf-c4r-stg";"0";"0";"OK";"2026-04-09 16:15:46"
"pf-ctera-poc";"0";"0";"OK";"2026-04-09 16:15:47"
"pf-das-prd";"0";"0";"OK";"2026-04-09 16:15:47"
"pf-das-stg";"0";"0";"OK";"2026-04-09 16:15:47"
"pf-dfs-prd";"0";"0";"OK";"2026-04-09 16:15:48"
"pf-dmp-dev";"0";"0";"OK";"2026-04-09 16:15:48"
"pf-dmp-prd";"0";"0";"OK";"2026-04-09 16:15:51"
"pf-dmp-sandbox";"0";"0";"OK";"2026-04-09 16:15:51"
"pf-dmp-sandbox2";"0";"0";"OK";"2026-04-09 16:15:51"
"pf-dmp-stg";"0";"0";"OK";"2026-04-09 16:15:51"
"pf-dt-backup";"0";"0";"OK";"2026-04-09 16:15:51"
"pf-dt-management";"0";"0";"OK";"2026-04-09 16:15:52"
"pf-efm-dev";"0";"0";"OK";"2026-04-09 16:15:52"
"pf-efm-prd";"0";"0";"OK";"2026-04-09 16:15:52"
"pf-efm-stg";"0";"0";"OK";"2026-04-09 16:15:53"
"pf-epc-dev";"0";"0";"OK";"2026-04-09 16:15:54"
"pf-epc-prd";"0";"0";"OK";"2026-04-09 16:15:54"
"pf-era-dev";"0";"0";"OK";"2026-04-09 16:15:54"
"pf-era-prd";"0";"0";"OK";"2026-04-09 16:15:55"
"pf-era-stg";"0";"0";"OK";"2026-04-09 16:15:55"
"pf-ext-akg-dev";"0";"0";"OK";"2026-04-09 16:15:56"
"pf-ext-akg-prd";"0";"0";"OK";"2026-04-09 16:15:57"
"pf-ext-akg-stg";"0";"0";"OK";"2026-04-09 16:15:57"
"pf-ext-ftp-dev";"0";"0";"OK";"2026-04-09 16:15:58"
"pf-ext-ftp-prd";"0";"0";"OK";"2026-04-09 16:15:58"
"pf-ext-ftp-stg";"0";"0";"OK";"2026-04-09 16:15:59"
"pf-ext-i2a-prd";"0";"0";"OK";"2026-04-09 16:15:59"
"pf-ext-log-prd";"0";"0";"OK";"2026-04-09 16:16:00"
"pf-ext-pge-prd";"0";"0";"OK";"2026-04-09 16:16:00"
"pf-ext-pge-stg";"0";"0";"OK";"2026-04-09 16:16:00"
"pf-ext-snoatos-poc";"0";"0";"OK";"2026-04-09 16:16:01"
"pf-hds-dc-store-prd";"0";"0";"OK";"2026-04-09 16:16:02"
"pf-hds-dc-store-stg";"0";"0";"OK";"2026-04-09 16:16:02"
"pf-hds-hpc-poc";"0";"0";"OK";"2026-04-09 16:16:02"
"pf-hds-sas-dev";"0";"0";"OK";"2026-04-09 16:16:03"
"pf-hds-sas-prd";"0";"0";"OK";"2026-04-09 16:16:03"
"pf-hds-sas-sandbox";"0";"0";"OK";"2026-04-09 16:16:04"
"pf-hds-sas-stg";"0";"0";"OK";"2026-04-09 16:16:04"
"pf-hlo-prd";"0";"0";"OK";"2026-04-09 16:16:05"
"pf-hub-connectivity";"0";"0";"OK";"2026-04-09 16:16:06"
"pf-hub-connectivity-external";"2";"0";"OK";"2026-04-09 16:16:06"
"pf-hub-hds-mgmt";"2";"0";"OK";"2026-04-09 16:16:06"
