"SubscriptionId";"SubscriptionName";"NSGName";"ResourceGroup";"Location";"RuleName";"Priority";"Protocol";"SourceAddress";"DestinationPort";"ExposedServices";"RiskLevel";"AttachedSubnets";"AttachedNICs";"AuditDate"
"0250fb93-fa71-4926-aadc-5f6ecad1e806";"pf-ctera-poc";"vmpfgdmpldden1-patch2-nsg";"rg-pf-dmp-dev";"westeurope";"SSH";"1001";"TCP";"*";"22";"SSH";"CRITICAL";"None";"None";"2026-04-03 12:41:26"
"513ad47c-251f-4a6c-8c8d-0e6cd964883c";"pf-hds-sas-sandbox";"pfa-dcsa-p-euwe-nsg-hub-connectivity-management-app-01";"rg-pf-hub-connectivity-management";"westeurope";"ALLOW_INBOUND_PING";"4005";"ICMP";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"PFA-DCSA-P-EUWE-SNET-HUB-CONNECTIVITY-MANAGEMENT-APP";"None";"2026-04-03 12:41:44"
"513ad47c-251f-4a6c-8c8d-0e6cd964883c";"pf-hds-sas-sandbox";"pfa-dcsa-p-euwe-nsg-hub-purview-app";"rg-pf-hub-connectivity-purview";"northeurope";"AllowAnyCustomAnyInbound";"2000";"*";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"pfa-dcsa-p-euwe-snet-hub-purview-app";"None";"2026-04-03 12:41:44"
"513ad47c-251f-4a6c-8c8d-0e6cd964883c";"pf-hds-sas-sandbox";"PFAZRVPINFFFW-NSG-Allow-All";"rg-pf-hub-connectivity-network-corporate";"westeurope";"AllowAllInbound";"100";"*";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"None";"PFAZRVPINFFFW01-Nic1 | PFAZRVPINFFFW01-Nic2 | PFAZRVPINFFFW02-Nic1 | PFAZRVPINFFFW02-Nic2";"2026-04-03 12:41:44"
"b9ec9c87-934f-468e-897c-34ac0998bd91";"pf-hds-sas-stg";"pfa-dcsa-p-euwe-nsg-hub-connectivity-management-app-01";"rg-pf-hub-connectivity-management";"westeurope";"ALLOW_INBOUND_PING";"4005";"ICMP";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"PFA-DCSA-P-EUWE-SNET-HUB-CONNECTIVITY-MANAGEMENT-APP";"None";"2026-04-03 12:41:45"
"b9ec9c87-934f-468e-897c-34ac0998bd91";"pf-hds-sas-stg";"pfa-dcsa-p-euwe-nsg-hub-purview-app";"rg-pf-hub-connectivity-purview";"northeurope";"AllowAnyCustomAnyInbound";"2000";"*";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"pfa-dcsa-p-euwe-snet-hub-purview-app";"None";"2026-04-03 12:41:45"
"b9ec9c87-934f-468e-897c-34ac0998bd91";"pf-hds-sas-stg";"PFAZRVPINFFFW-NSG-Allow-All";"rg-pf-hub-connectivity-network-corporate";"westeurope";"AllowAllInbound";"100";"*";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"None";"PFAZRVPINFFFW01-Nic1 | PFAZRVPINFFFW01-Nic2 | PFAZRVPINFFFW02-Nic1 | PFAZRVPINFFFW02-Nic2";"2026-04-03 12:41:45"
"6c13228a-8385-4a91-af25-d051ad335ca8";"pf-hlo-prd";"pfa-dcsa-p-euwe-nsg-hub-connectivity-management-app-01";"rg-pf-hub-connectivity-management";"westeurope";"ALLOW_INBOUND_PING";"4005";"ICMP";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"PFA-DCSA-P-EUWE-SNET-HUB-CONNECTIVITY-MANAGEMENT-APP";"None";"2026-04-03 12:41:44"
"6c13228a-8385-4a91-af25-d051ad335ca8";"pf-hlo-prd";"pfa-dcsa-p-euwe-nsg-hub-purview-app";"rg-pf-hub-connectivity-purview";"northeurope";"AllowAnyCustomAnyInbound";"2000";"*";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"pfa-dcsa-p-euwe-snet-hub-purview-app";"None";"2026-04-03 12:41:44"
"6c13228a-8385-4a91-af25-d051ad335ca8";"pf-hlo-prd";"PFAZRVPINFFFW-NSG-Allow-All";"rg-pf-hub-connectivity-network-corporate";"westeurope";"AllowAllInbound";"100";"*";"*";"22 | 3389 | 443 | 80";"HTTP | HTTPS | RDP | SSH";"CRITICAL";"None";"PFAZRVPINFFFW01-Nic1 | PFAZRVPINFFFW01-Nic2 | PFAZRVPINFFFW02-Nic1 | PFAZRVPINFFFW02-Nic2";"2026-04-03 12:41:44"
