"SubscriptionName";"SubscriptionId";"TotalNonCompliant";"NoTags";"MissingRequiredTags";"AffectedRGCount";"AffectedRGs";"AffectedResTypes";"AuditDate"
"AT Storage Azure Enterprise";"7444afba-8425-409c-9cf4-6e1de6aeff9d";"1";"0";"1";"1";"Storage";"Microsoft.RecoveryServices/vaults";"2026-04-03 10:04:36"
"AU Microsoft Azure Enterprise";"b24fc1cd-c185-4f96-87f1-4ad94a40a59e";"1";"0";"1";"1";"AU-SRV-BACKUP";"Microsoft.RecoveryServices/vaults";"2026-04-03 10:04:41"
"Azure subscription 1";"27839da1-b248-4b12-9c03-e23d9bef348f";"1";"0";"1";"1";"AU-SRV-BACKUP";"Microsoft.RecoveryServices/vaults";"2026-04-03 10:04:39"
"BE Storage Azure Enterprise";"3128a48b-402c-438b-a90d-47e2ae66f8f6";"1";"0";"1";"1";"Storage";"Microsoft.RecoveryServices/vaults";"2026-04-03 10:04:36"
"BG Storage Azure Enterprise";"ae84e67e-d14a-4733-b672-9f5e490f04ae";"2";"0";"2";"1";"SOO";"Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:04:38"
"BR Storage Azure Enterprise";"faffb1af-ed72-4366-8046-e64526b3caa1";"13";"0";"13";"4";"AzureBackupRG_brazilsouth_1 | BR_SRV_BACKUP | BRsistemas | NetworkWatcherRG";"Microsoft.Compute/restorePointCollections | Microsoft.Compute/sshPublicKeys | Microsoft.KeyVault/vaults | Microsoft.Network/bastionHosts | Microsoft.Network/networkInterfaces | Microsoft.Network/networkWatchers | Microsoft.Network/publicIPAddresses | Microsoft.Network/virtualNetworks | Microsoft.OperationalInsights/workspaces | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:04:40"
"CA Storage Azure Enterprise";"e784bae2-a9f8-4796-9049-36d925d1bf5d";"2";"0";"2";"1";"CABackupGroup";"Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:04:40"
"CH Storage Azure Enterprise";"c488edeb-57c8-432c-913a-8406d1d4e1e3";"1";"0";"1";"1";"Storage";"Microsoft.RecoveryServices/vaults";"2026-04-03 10:04:40"
"Cloud Subscription";"5ba8d920-a52a-4f6b-ad9f-e90210573281";"7";"7";"0";"1";"PR_MSProposalRG";"Microsoft.BillingBenefits/discounts | Microsoft.BillingBenefits/maccs";"2026-04-03 10:04:41"
"CN Storage Azure Enterprise";"2337966a-1865-4fba-934f-d4082b8b2a6d";"1";"0";"1";"1";"CN-Storage-Resource-Group";"Microsoft.Storage/storageAccounts";"2026-04-03 10:04:42"
